JAR Health Check Report
=======================

Duplicate Classes
-----------------
Duplicate classes, shadowed classes, and duplicate resources.

Class/Resource                                           | Sources                           | Similarity
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.validation.TypeInfoProvider                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.validation.Validator                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.validation.ValidatorHandler                    | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport                          | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$1                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$2                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$3                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$4                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$5                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$6                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$7                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.SecuritySupport$8                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPath                                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathConstants                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathException                           | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathExpression                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathExpressionException                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFactory                             | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFactoryConfigurationException       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFactoryFinder                       | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFactoryFinder$1                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFactoryFinder$2                     | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFunction                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFunctionException                   | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathFunctionResolver                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
javax.xml.xpath.XPathVariableResolver                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Attr                                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.CDATASection                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.CharacterData                                | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.Comment                                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.DOMConfiguration                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
